date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:05	71140/71140	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:43%20GMT	http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/home-version-1.html	(from )
23:24:06	4414/4414	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20May%202016%2018:10:13%20GMT	http://wwsthemes.com/robots.txt		(from )
23:24:06	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/favicon.ico	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/favicon.ico	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:07	121200/121200	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2013:34:42%20GMT	http://wwsthemes.com/themes/medwise/v1.3/css/bootstrap.min.css	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/css/bootstrap.min.css	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:07	29062/29062	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2013:34:42%20GMT	http://wwsthemes.com/themes/medwise/v1.3/css/font-awesome.min.css	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/css/font-awesome.min.css	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:08	8022/8022	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2013:34:42%20GMT	http://wwsthemes.com/themes/medwise/v1.3/css/medical-icons.css	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/css/medical-icons.css	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:08	32481/32481	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2013:34:41%20GMT	http://wwsthemes.com/themes/medwise/v1.3/css/vendors.css	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/css/vendors.css	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:08	75602/75602	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2013:34:42%20GMT	http://wwsthemes.com/themes/medwise/v1.3/css/style.css	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/css/style.css	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:09	53805/53805	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2013:34:42%20GMT	http://wwsthemes.com/themes/medwise/v1.3/css/components.css	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/css/components.css	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:09	1558/1558	---M--	200	added ('OK')	image/png	date:Fri,%2019%20May%202017%2013:34:44%20GMT	http://wwsthemes.com/themes/medwise/v1.3/images/logo-dark.png	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/images/logo-dark.png	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:10	67455/67455	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:43%20GMT	http://wwsthemes.com/themes/medwise/v1.3/home-version-2.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/home-version-2.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:10	50649/50649	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:42%20GMT	http://wwsthemes.com/themes/medwise/v1.3/home-version-3.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/home-version-3.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:10	28749/28749	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:42%20GMT	http://wwsthemes.com/themes/medwise/v1.3/doctors-style-1.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/doctors-style-1.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:11	30153/30153	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/doctors-style-2.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/doctors-style-2.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:11	31715/31715	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/doctors-mini.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/doctors-mini.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:11	34747/34747	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:43%20GMT	http://wwsthemes.com/themes/medwise/v1.3/doctor-single.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/doctor-single.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:12	33547/33547	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/doctor-single-sidebar.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/doctor-single-sidebar.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:12	26235/26235	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/departments-style-1.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/departments-style-1.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:12	29612/29612	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/departments-style-2.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/departments-style-2.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:13	29097/29097	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:46%20GMT	http://wwsthemes.com/themes/medwise/v1.3/departments-mini.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/departments-mini.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:13	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	https://www.google-analytics.com/analytics.js	C:/Mes%20Sites%20Web/WEB/www.google-analytics.com/analytics.js	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
